wheelchair_catalogue
Brand,Product Name,Price (INR),Category,Sub Category,Description,URL,Images,Specifications
Generic/Unknown,Premium Wheelchair Powder Coated Mag Wheel With Safety Belt,"4,399.00",Wheelchair,Premium Wheelchair Powder Coated Mag Wheel With Safety Belt,"Premium Wheelchair Powder Coated Mag Wheel With Safety Belt, Buy wheelchair online, Wheelchair for sale, Wheelchair online shopping, Best wheelchair in India, Electric wheelchair for sale, Manual wheelchair online, Folding wheelchair price, ",https://www.wheelchairindia.com/WHEELCHAIR/Premium-Wheelchair-Powder-Coated-Mag-Wheel-With-Safety-Belt,"https://www.wheelchairindia.com/image/cache/catalog/Basic%20Powder%20Coated%20Wheelchair%201-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Powder%20Coated%20Wheelchair%204-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Powder%20Coated%20Wheelchair%203-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Powder%20Coated%20Wheelchair%202-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Powder%20Coated%20Wheelchair%201-80x80h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Powder%20Coated%20Wheelchair%204-80x80h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Powder%20Coated%20Wheelchair%203-80x80h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Powder%20Coated%20Wheelchair%202-80x80h.jpeg.webp","{""Product Name"":""Powder Coated Wheelchair"",""Frame Style"":""Foldable"",""Frame Material"":""Ms"",""Out to Out Width In open Position"":""25 Inches"",""Seat Width"":""16.5 Inches"",""Total Width in Closing Position"":""10 Inches"",""Rear Wheel Size"":""23 Inches"",""Front Wheel Size"":""8 Inches"",""Seat to Floor Height In"":""18 Inches"",""Seat Depth"":""15 Inches"",""Back height"":""16 Inches"",""Total Height"":""34.5 Inches"",""Max user Weight Capacity"":""100 KG"",""Net Weight"":""17.5 KG"",""Upholstery"":""Cloth"",""Armrest"":""Fixed"",""Footrest"":""Fixed"",""Wheel Quality"":""Solid"",""Rear Wheel Lock"":""Yes"",""Hand Brakes"":""No"",""Dropback Handle"":""No"",""Wheel Type"":""Mag""}"
Generic/Unknown,Folding Powder Coated Wheelchair with Attendant Brakes,"5,299.00",Wheelchair,Folding Powder Coated Wheelchair with Attendant Brakes,Folding Powder Coated Wheelchair with Attendant Brakes,https://www.wheelchairindia.com/WHEELCHAIR/Folding-Powder-Coated-Wheelchair-with-Attendant-Brakes,"https://www.wheelchairindia.com/image/cache/catalog/powder_coated_with_brake_1_550x550-550x550.png.webp, https://www.wheelchairindia.com/image/cache/catalog/powder_coated_with_brake_2_550x550-550x550.png.webp, https://www.wheelchairindia.com/image/cache/catalog/powder_coated_with_brake_3_550x550-550x550.png.webp, https://www.wheelchairindia.com/image/cache/catalog/powder_coated_with_brake_1_550x550-80x80.png.webp, https://www.wheelchairindia.com/image/cache/catalog/powder_coated_with_brake_2_550x550-80x80.png.webp, https://www.wheelchairindia.com/image/cache/catalog/powder_coated_with_brake_3_550x550-80x80.png.webp","{""Product Name"":""Powder Coated Wheelchair with Brake"",""Frame Style"":""Foldable"",""Frame Material"":""Ms"",""Out to Out Width In open Position"":""25 Inches"",""Seat Width"":""16.5 Inches"",""Total Width in Closing Position"":""10 Inches"",""Rear Wheel Size"":""23 Inches"",""Front Wheel Size"":""8 Inches"",""Seat to Floor Height In"":""18 Inches"",""Seat Depth"":""15 Inches"",""Back height"":""16 Inches"",""Total Height"":""34.5 Inches"",""Max user Weight Capacity"":""100 KG"",""Net Weight"":""17.5 KG"",""Upholstery"":""Cloth"",""Armrest"":""Fixed"",""Footrest"":""Fixed"",""Wheel Quality"":""Solid"",""Rear Wheel Lock"":""Yes"",""Hand Brakes"":""No"",""Dropback Handle"":""No"",""Wheel Type"":""Mag""}"
Generic/Unknown,Premium Wheel Chair Chrome Polished Black With Safety Belt,"5,399.00",Wheelchair,Premium Wheel Chair Chrome Polished Black With Safety Belt,Premium Wheel Chair Chrome Polished Black With Safety Belt,https://www.wheelchairindia.com/WHEELCHAIR/Premium-Wheel-Chair-Chrome-Polished-Black-With-Safety-Belt,"https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%201-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%205-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%204-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%203-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%202-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%201-80x80h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%205-80x80h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%204-80x80h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%203-80x80h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%202-80x80h.jpeg.webp","{""Product Name"":""Chrome polished Wheelchair"",""Frame Style"":""Foldable"",""Frame Material"":""Ms"",""Out to Out Width In open Position"":""25 Inches"",""Seat Width"":""16.5 Inches"",""Total Width in Closing Position"":""10 Inches"",""Rear Wheel Size"":""23 Inches"",""Front Wheel Size"":""8 Inches"",""Seat to Floor Height In"":""18 Inches"",""Seat Depth"":""15 Inches"",""Back height"":""16 Inches"",""Total Height"":""34.5 Inches"",""Max user Weight Capacity"":""100 KG"",""Net Weight"":""17.5 KG"",""Upholstery"":""Cloth"",""Armrest"":""Fixed"",""Footrest"":""Fixed"",""Wheel Quality"":""Solid"",""Rear Wheel Lock"":""Yes"",""Hand Brakes"":""No"",""Dropback Handle"":""No"",""Wheel Type"":""Mag""}"
Karma,Karma TV-30 Transit Light Weight Wheelchair with Carry Bag,"7,799.00",Wheelchair,Aluminium Wheelchair,"Buy Karma TV30 Lightweight Aluminum Foldable Travel with Attendant Brakes & Free Carry Bag Transit Light Weight Wheelchair Online at the lowest price in India, TV30 Wheelchair supplier, distributor, and dealer of TV30 Wheelchair for senior citizens &a",https://www.wheelchairindia.com/WHEELCHAIR/ALUMINIUM-WHEELCHAIR/Karma-TV30-Transit-Light-Weight-Wheelchair,"https://www.wheelchairindia.com/image/cache/catalog/Products/Karma-TV30-Transit-Light-Weight-Wheelchair/Karma-TV30-Transit-Light-Weight-Wheelchair2-550x550.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma-TV30-Transit-Light-Weight-Wheelchair/Karma-TV30-Transit-Light-Weight-Wheelchair4-550x550h.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma-TV30-Transit-Light-Weight-Wheelchair/Karma-TV30-Transit-Light-Weight-Wheelchair-550x550h.png.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma-TV30-Transit-Light-Weight-Wheelchair/Karma-TV30-Transit-Light-Weight-Wheelchair5-550x550w.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma-TV30-Transit-Light-Weight-Wheelchair/Karma-TV30-Transit-Light-Weight-Wheelchair6-550x550h.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma-TV30-Transit-Light-Weight-Wheelchair/Karma-TV30-Transit-Light-Weight-Wheelchair3-550x550h.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma-TV30-Transit-Light-Weight-Wheelchair/Karma-TV30-Transit-Light-Weight-Wheelchair2-80x80.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma-TV30-Transit-Light-Weight-Wheelchair/Karma-TV30-Transit-Light-Weight-Wheelchair4-80x80h.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma-TV30-Transit-Light-Weight-Wheelchair/Karma-TV30-Transit-Light-Weight-Wheelchair-80x80h.png.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma-TV30-Transit-Light-Weight-Wheelchair/Karma-TV30-Transit-Light-Weight-Wheelchair5-80x80w.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma-TV30-Transit-Light-Weight-Wheelchair/Karma-TV30-Transit-Light-Weight-Wheelchair6-80x80h.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma-TV30-Transit-Light-Weight-Wheelchair/Karma-TV30-Transit-Light-Weight-Wheelchair3-80x80h.jpg.webp","{""Product Name"":""TV-30"",""Frame Style"":""Foldable"",""Frame Material"":""Aluminium"",""Out to Out Width In open Position"":""20 Inches"",""Seat Width"":""13 Inches"",""Total Width in Closing Position"":""11 Inches"",""Rear Wheel Size"":""8 Inches"",""Front Wheel Size"":""6 Inches"",""Seat to Floor Height In"":""20 Inches"",""Seat Depth"":""13 Inches"",""Back height"":""16 Inches"",""Total Height"":""36 Inches"",""Max user Weight Capacity"":""100 KG"",""Net Weight"":""8.5 KG"",""Upholstery"":""Cotton"",""Armrest"":""Flip-up"",""Footrest"":""Fixed"",""Wheel Quality"":""Solid"",""Rear Wheel Lock"":""Yes"",""Hand Brakes"":""Yes"",""Dropback Handle"":""Yes"",""Wheel Type"":""Mag""}"
Karma,Karma Aurora 5 Aluminium Wheelchair,"9,499.00",Wheelchair,Aluminium Wheelchair,"Buy Karma Aurora 5 Aluminium Online Shopping at Wheelchair India Lowest Price Sale in India, Premium Foldable Wheelchair for Outdoor Uses Senior Citizen, Lightweight Wheelchair Smart looking easy to carry, Ultralight Wheelchairs for disabled and handicapp",https://www.wheelchairindia.com/WHEELCHAIR/ALUMINIUM-WHEELCHAIR/Karma-Aurora-5-Aluminum-Wheelchair,"https://www.wheelchairindia.com/image/cache/catalog/Karma-Aurora-5-Aluminum-Wheelchair-5-550x550-550x550.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma-Aurora-5-Aluminum-Wheelchair/Karma-Aurora-5-Aluminum-Wheelchair-3-550x550.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma%20Aurora%205%20Premium%20Foldable%20Wheelchair/Karma%20Aurora%205%20Wheelchair3-550x550.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma%20Aurora%205%20Premium%20Foldable%20Wheelchair/Karma-Aurora-5-Aluminium-Alloy-Frame-Premium-Foldable-Wheelchair2-550x550.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma-Aurora-5-Aluminum-Wheelchair/Karma-Aurora-5-Aluminum-Wheelchair-1-550x550.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma-Aurora-5-Aluminum-Wheelchair/Karma-Aurora-5-Aluminum-Wheelchair-550x550.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Karma-Aurora-5-Aluminum-Wheelchair-5-550x550-80x80.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma-Aurora-5-Aluminum-Wheelchair/Karma-Aurora-5-Aluminum-Wheelchair-3-80x80.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma%20Aurora%205%20Premium%20Foldable%20Wheelchair/Karma%20Aurora%205%20Wheelchair3-80x80.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma%20Aurora%205%20Premium%20Foldable%20Wheelchair/Karma-Aurora-5-Aluminium-Alloy-Frame-Premium-Foldable-Wheelchair2-80x80.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma-Aurora-5-Aluminum-Wheelchair/Karma-Aurora-5-Aluminum-Wheelchair-1-80x80.jpg.webp, https://www.wheelchairindia.com/image/cache/catalog/Products/Karma-Aurora-5-Aluminum-Wheelchair/Karma-Aurora-5-Aluminum-Wheelchair-80x80.jpg.webp","{""Product Name"":""Aurora 5"",""Frame Style"":""Foldable"",""Frame Material"":""Aluminium"",""Out to Out Width In open Position"":""22 Inches"",""Seat Width"":""16 Inches"",""Total Width in Closing Position"":""10 Inches"",""Rear Wheel Size"":""12 Inches"",""Front Wheel Size"":""6 Inches"",""Seat to Floor Height In"":""17 Inches"",""Seat Depth"":""14 Inches"",""Back height"":""18 Inches"",""Total Height"":""36 Inches"",""Max user Weight Capacity"":""100 KG"",""Net Weight"":""10 KG"",""Upholstery"":""Cotton"",""Armrest"":""Fixed"",""Footrest"":""Flip-Up"",""Wheel Quality"":""Solid"",""Rear Wheel Lock"":""Yes"",""Hand Brakes"":""Yes"",""Dropback Handle"":""Yes"",""Wheel Type"":""Mag Wheels""}"
Generic/Unknown,Aluminium Ultralight Wheelchair with Flip-up Armrest & Footrest,"10,999.00",Wheelchair,Aluminium Wheelchair,Aluminium Ultralight Wheelchair with Flip-up Armrest & Footrest,https://www.wheelchairindia.com/WHEELCHAIR/ALUMINIUM-WHEELCHAIR/Aluminium-Ultralight-Wheelchair-with-Flip-up-Armrest-and-Footrest,"https://www.wheelchairindia.com/image/cache/catalog/aluminium%20wheelchair%20instant%20mobility%201-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/aluminium%20wheelchair%20instant%20mobility%204-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/aluminium%20wheelchair%20instant%20mobility%202-550x550w.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/aluminium%20wheelchair%20instant%20mobility%203-550x550w.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/aluminium%20wheelchair%20instant%20mobility%205-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/aluminium%20wheelchair%20instant%20mobility%201-80x80h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/aluminium%20wheelchair%20instant%20mobility%204-80x80h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/aluminium%20wheelchair%20instant%20mobility%202-80x80w.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/aluminium%20wheelchair%20instant%20mobility%203-80x80w.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/aluminium%20wheelchair%20instant%20mobility%205-80x80h.jpeg.webp",{}
Generic/Unknown,Premium Wheelchair Powder Coated Mag Wheel With Safety Belt,"4,399.00",Wheelchair,Basic Wheelchair,"Premium Wheelchair Powder Coated Mag Wheel With Safety Belt, Buy wheelchair online, Wheelchair for sale, Wheelchair online shopping, Best wheelchair in India, Electric wheelchair for sale, Manual wheelchair online, Folding wheelchair price, ",https://www.wheelchairindia.com/WHEELCHAIR/BASIC-WHEELCHAIR/Premium-Wheelchair-Powder-Coated-Mag-Wheel-With-Safety-Belt,"https://www.wheelchairindia.com/image/cache/catalog/Basic%20Powder%20Coated%20Wheelchair%201-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Powder%20Coated%20Wheelchair%204-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Powder%20Coated%20Wheelchair%203-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Powder%20Coated%20Wheelchair%202-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Powder%20Coated%20Wheelchair%201-80x80h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Powder%20Coated%20Wheelchair%204-80x80h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Powder%20Coated%20Wheelchair%203-80x80h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Powder%20Coated%20Wheelchair%202-80x80h.jpeg.webp","{""Product Name"":""Powder Coated Wheelchair"",""Frame Style"":""Foldable"",""Frame Material"":""Ms"",""Out to Out Width In open Position"":""25 Inches"",""Seat Width"":""16.5 Inches"",""Total Width in Closing Position"":""10 Inches"",""Rear Wheel Size"":""23 Inches"",""Front Wheel Size"":""8 Inches"",""Seat to Floor Height In"":""18 Inches"",""Seat Depth"":""15 Inches"",""Back height"":""16 Inches"",""Total Height"":""34.5 Inches"",""Max user Weight Capacity"":""100 KG"",""Net Weight"":""17.5 KG"",""Upholstery"":""Cloth"",""Armrest"":""Fixed"",""Footrest"":""Fixed"",""Wheel Quality"":""Solid"",""Rear Wheel Lock"":""Yes"",""Hand Brakes"":""No"",""Dropback Handle"":""No"",""Wheel Type"":""Mag""}"
Generic/Unknown,Folding Powder Coated Wheelchair with Attendant Brakes,"5,299.00",Wheelchair,Basic Wheelchair,Folding Powder Coated Wheelchair with Attendant Brakes,https://www.wheelchairindia.com/WHEELCHAIR/BASIC-WHEELCHAIR/Folding-Powder-Coated-Wheelchair-with-Attendant-Brakes,"https://www.wheelchairindia.com/image/cache/catalog/powder_coated_with_brake_1_550x550-550x550.png.webp, https://www.wheelchairindia.com/image/cache/catalog/powder_coated_with_brake_2_550x550-550x550.png.webp, https://www.wheelchairindia.com/image/cache/catalog/powder_coated_with_brake_3_550x550-550x550.png.webp, https://www.wheelchairindia.com/image/cache/catalog/powder_coated_with_brake_1_550x550-80x80.png.webp, https://www.wheelchairindia.com/image/cache/catalog/powder_coated_with_brake_2_550x550-80x80.png.webp, https://www.wheelchairindia.com/image/cache/catalog/powder_coated_with_brake_3_550x550-80x80.png.webp","{""Product Name"":""Powder Coated Wheelchair with Brake"",""Frame Style"":""Foldable"",""Frame Material"":""Ms"",""Out to Out Width In open Position"":""25 Inches"",""Seat Width"":""16.5 Inches"",""Total Width in Closing Position"":""10 Inches"",""Rear Wheel Size"":""23 Inches"",""Front Wheel Size"":""8 Inches"",""Seat to Floor Height In"":""18 Inches"",""Seat Depth"":""15 Inches"",""Back height"":""16 Inches"",""Total Height"":""34.5 Inches"",""Max user Weight Capacity"":""100 KG"",""Net Weight"":""17.5 KG"",""Upholstery"":""Cloth"",""Armrest"":""Fixed"",""Footrest"":""Fixed"",""Wheel Quality"":""Solid"",""Rear Wheel Lock"":""Yes"",""Hand Brakes"":""No"",""Dropback Handle"":""No"",""Wheel Type"":""Mag""}"
Generic/Unknown,Premium Wheel Chair Chrome Polished Black With Safety Belt,"5,399.00",Wheelchair,Basic Wheelchair,Premium Wheel Chair Chrome Polished Black With Safety Belt,https://www.wheelchairindia.com/WHEELCHAIR/BASIC-WHEELCHAIR/Premium-Wheel-Chair-Chrome-Polished-Black-With-Safety-Belt,"https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%201-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%205-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%204-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%203-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%202-550x550h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%201-80x80h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%205-80x80h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%204-80x80h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%203-80x80h.jpeg.webp, https://www.wheelchairindia.com/image/cache/catalog/Basic%20Wheelchair%20Chrome%20Polished%20Wheelchair%202-80x80h.jpeg.webp","{""Product Name"":""Chrome polished Wheelchair"",""Frame Style"":""Foldable"",""Frame Material"":""Ms"",""Out to Out Width In open Position"":""25 Inches"",""Seat Width"":""16.5 Inches"",""Total Width in Closing Position"":""10 Inches"",""Rear Wheel Size"":""23 Inches"",""Front Wheel Size"":""8 Inches"",""Seat to Floor Height In"":""18 Inches"",""Seat Depth"":""15 Inches"",""Back height"":""16 Inches"",""Total Height"":""34.5 Inches"",""Max user Weight Capacity"":""100 KG"",""Net Weight"":""17.5 KG"",""Upholstery"":""Cloth"",""Armrest"":""Fixed"",""Footrest"":""Fixed"",""Wheel Quality"":""Solid"",""Rear Wheel Lock"":""Yes"",""Hand Brakes"":""No"",""Dropback Handle"":""No"",""Wheel Type"":""Mag""}"
Generic/Unknown,Lightweight Portable Aluminum Wheelchair,"7,500.00",Wheelchair,Detachable Wheelchairs,Lightweight Portable Aluminum WheelchairChair designed keeping portability in mind Aesthetic carry bag perfect for holidays and trips abroad Lightweight aluminium frame with oxford fabric seat and back Grey solid 12” PU rear wheel and solid 5” castor Flip-away armrest and flip-up foot,https://www.wheelchairindia.com/WHEELCHAIR/detachable-wheelchairs/Portable-Aluminum-Lightweight-Wheelchair,https://www.wheelchairindia.com/image/cache/catalog/Lightweight-Portable-Aluminum-Wheelchair--550x550.jpg.webp,"{""Product Name"":""9003L-A"",""Frame Style"":""Foldable"",""Frame Material"":""Aluminium"",""Out to Out Width In open Position"":""18 Inches"",""Seat Width"":""14 Inches"",""Total Width in Closing Position"":""10 Inches"",""Rear Wheel Size"":""12 Inches"",""Front Wheel Size"":""5 Inches"",""Seat to Floor Height In"":""18 Inches"",""Seat Depth"":""15 Inches"",""Back height"":""16 Inches"",""Total Height"":""35 Inches"",""Max user Weight Capacity"":""100 KG"",""Net Weight"":""7.5 KG"",""Upholstery"":""Cotton"",""Armrest"":""Flip-Up"",""Footrest"":""Flip-Up"",""Wheel Quality"":""Solid"",""Rear Wheel Lock"":""Yes"",""Hand Brakes"":""Yes"",""Dropback Handle"":""No"",""Wheel Type"":""Mag Wheels""}"
